order_id,user_id,product,price,quantity,date,total
1,101,Keyboard,120.0,1,2025-01-01,120.0
2,102,Mouse,40.0,2,2025-01-02,80.0
3,103,Monitor,300.0,1,2025-01-03,300.0
4,104,Laptop,1500.0,1,2025-01-04,1500.0
6,106,Webcam,220.0,1,2025-01-06,220.0
7,107,Headphones,180.0,2,2025-01-07,360.0
8,108,Microphone,260.0,1,2025-01-08,260.0
9,109,Desk Lamp,75.0,2,2025-01-09,150.0
10,110,Chair,540.0,1,2025-01-10,540.0
11,111,SSD 1TB,130.0,2,2025-01-11,260.0
13,113,Graphics Card,980.0,1,2025-01-13,980.0
14,114,Processor,430.0,1,2025-01-14,430.0
15,115,RAM 16GB,160.0,2,2025-01-15,320.0
16,116,Power Supply,145.0,1,2025-01-16,145.0
17,117,CPU Cooler,85.0,1,2025-01-17,85.0
18,118,Smartphone,890.0,1,2025-01-18,890.0
19,119,Tablet,620.0,1,2025-01-19,620.0
20,120,Smart Watch,310.0,1,2025-01-20,310.0
21,121,Bluetooth Speaker,150.0,2,2025-01-21,300.0
22,122,Router,110.0,1,2025-01-22,110.0
23,123,Printer,275.0,1,2025-01-23,275.0
24,124,Scanner,190.0,1,2025-01-24,190.0
25,125,Projector,760.0,1,2025-01-25,760.0
26,126,HDMI Cable,25.0,4,2025-01-26,100.0
28,128,USB Hub,55.0,2,2025-01-28,110.0
29,129,Mechanical Keyboard,240.0,1,2025-01-29,240.0
30,130,Gaming Mouse,135.0,1,2025-01-30,135.0
31,131,Gaming Chair,680.0,1,2025-02-01,680.0
32,132,Notebook Stand,48.0,2,2025-02-02,96.0
33,133,External SSD,210.0,1,2025-02-03,210.0
34,134,Action Camera,470.0,1,2025-02-04,470.0
35,135,Drone,1200.0,1,2025-02-05,1200.0
36,136,VR Headset,990.0,1,2025-02-06,990.0
37,137,Monitor Arm,140.0,1,2025-02-07,140.0
38,138,Desk Mat,35.0,2,2025-02-08,70.0
39,139,Laptop Stand,65.0,1,2025-02-09,65.0
40,140,Wireless Charger,90.0,2,2025-02-10,180.0
41,141,Phone Case,20.0,3,2025-02-11,60.0
42,142,Screen Protector,12.0,5,2025-02-12,60.0
43,143,Portable Monitor,340.0,1,2025-02-13,340.0
44,144,Streaming Deck,260.0,1,2025-02-14,260.0
45,145,Camera Lens,820.0,1,2025-02-15,820.0
46,146,Tripod,130.0,1,2025-02-16,130.0
47,147,Studio Light,210.0,2,2025-02-17,420.0
48,148,Graphics Tablet,390.0,1,2025-02-18,390.0
49,149,E-book Reader,280.0,1,2025-02-19,280.0
50,150,Mini PC,730.0,1,2025-02-20,730.0
51,101,Keyboard,120.0,1,2025-01-01,120.0
52,103,Monitor,300.0,1,2025-01-03,300.0
53,110,Chair,540.0,1,2025-01-10,540.0
54,150,Mini PC,730.0,1,2025-02-20,730.0
59,164,Laptop,1800.0,1,2025-03-01,1800.0
60,165,Keyboard,120.0,1,2025-03-02,120.0
