order_id,user_id,product,price,quantity,date
1,101,Keyboard,120.0,1,2025-01-01
3,103,Monitor,300.0,1,2025-01-03
4,104,Laptop,1500.0,1,2025-01-04
6,106,Webcam,220.0,1,2025-01-06
7,107,Headphones,180.0,2,2025-01-07
8,108,Microphone,260.0,1,2025-01-08
10,110,Chair,540.0,1,2025-01-10
11,111,SSD 1TB,130.0,2,2025-01-11
13,113,Graphics Card,980.0,1,2025-01-13
14,114,Processor,430.0,1,2025-01-14
15,115,RAM 16GB,160.0,2,2025-01-15
16,116,Power Supply,145.0,1,2025-01-16
18,118,Smartphone,890.0,1,2025-01-18
19,119,Tablet,620.0,1,2025-01-19
20,120,Smart Watch,310.0,1,2025-01-20
21,121,Bluetooth Speaker,150.0,2,2025-01-21
22,122,Router,110.0,1,2025-01-22
23,123,Printer,275.0,1,2025-01-23
24,124,Scanner,190.0,1,2025-01-24
25,125,Projector,760.0,1,2025-01-25
29,129,Mechanical Keyboard,240.0,1,2025-01-29
30,130,Gaming Mouse,135.0,1,2025-01-30
31,131,Gaming Chair,680.0,1,2025-02-01
33,133,External SSD,210.0,1,2025-02-03
34,134,Action Camera,470.0,1,2025-02-04
35,135,Drone,1200.0,1,2025-02-05
36,136,VR Headset,990.0,1,2025-02-06
37,137,Monitor Arm,140.0,1,2025-02-07
43,143,Portable Monitor,340.0,1,2025-02-13
44,144,Streaming Deck,260.0,1,2025-02-14
45,145,Camera Lens,820.0,1,2025-02-15
46,146,Tripod,130.0,1,2025-02-16
47,147,Studio Light,210.0,2,2025-02-17
48,148,Graphics Tablet,390.0,1,2025-02-18
49,149,E-book Reader,280.0,1,2025-02-19
50,150,Mini PC,730.0,1,2025-02-20
51,101,Keyboard,120.0,1,2025-01-01
52,103,Monitor,300.0,1,2025-01-03
53,110,Chair,540.0,1,2025-01-10
54,150,Mini PC,730.0,1,2025-02-20
59,164,Laptop,1800.0,1,2025-03-01
60,165,Keyboard,120.0,1,2025-03-02
