order_id,user_id,product,price,quantity,date
1,101,Keyboard,120,1,2025-01-01
2,102,Mouse,40,2,2025-01-02
3,103,Monitor,300,1,2025-01-03
4,104,Laptop,1500,1,2025-01-04
5,105,USB Cable,-10,3,2025-01-05
6,106,Webcam,220,1,2025-01-06
7,107,Headphones,180,2,2025-01-07
8,108,Microphone,260,1,2025-01-08
9,109,Desk Lamp,75,2,2025-01-09
10,110,Chair,540,1,2025-01-10
11,111,SSD 1TB,130,2,2025-01-11
12,112,HDD 2TB,-95,1,2025-01-12
13,113,Graphics Card,980,1,2025-01-13
14,114,Processor,430,1,2025-01-14
15,115,RAM 16GB,160,2,2025-01-15
16,116,Power Supply,145,1,2025-01-16
17,117,CPU Cooler,85,1,2025-01-17
18,118,Smartphone,890,1,2025-01-18
19,119,Tablet,620,1,2025-01-19
20,120,Smart Watch,310,1,2025-01-20
21,121,Bluetooth Speaker,150,2,2025-01-21
22,122,Router,110,1,2025-01-22
23,123,Printer,275,1,2025-01-23
24,124,Scanner,190,1,2025-01-24
25,125,Projector,760,1,2025-01-25
26,126,HDMI Cable,25,4,2025-01-26
27,127,Ethernet Cable,-15,5,2025-01-27
28,128,USB Hub,55,2,2025-01-28
29,129,Mechanical Keyboard,240,1,2025-01-29
30,130,Gaming Mouse,135,1,2025-01-30
31,131,Gaming Chair,680,1,2025-02-01
32,132,Notebook Stand,48,2,2025-02-02
33,133,External SSD,210,1,2025-02-03
34,134,Action Camera,470,1,2025-02-04
35,135,Drone,1200,1,2025-02-05
36,136,VR Headset,990,1,2025-02-06
37,137,Monitor Arm,140,1,2025-02-07
38,138,Desk Mat,35,2,2025-02-08
39,139,Laptop Stand,65,1,2025-02-09
40,140,Wireless Charger,90,2,2025-02-10
41,141,Phone Case,20,3,2025-02-11
42,142,Screen Protector,12,5,2025-02-12
43,143,Portable Monitor,340,1,2025-02-13
44,144,Streaming Deck,260,1,2025-02-14
45,145,Camera Lens,820,1,2025-02-15
46,146,Tripod,130,1,2025-02-16
47,147,Studio Light,210,2,2025-02-17
48,148,Graphics Tablet,390,1,2025-02-18
49,149,E-book Reader,280,1,2025-02-19
50,150,Mini PC,730,1,2025-02-20
51,101,Keyboard,120,1,2025-01-01
52,103,Monitor,300,1,2025-01-03
53,110,Chair,540,1,2025-01-10
54,150,Mini PC,730,1,2025-02-20
55,160,,250,1,2025-02-25
56,161,Tablet,,1,2025-02-26
57,162,Phone,500,,2025-02-27
58,163,Camera,-300,1,2025-02-28
59,164,Laptop,1800,1,2025-03-01
60,165,Keyboard,120,1,2025-03-02
